Source,Target,Weight
0,18427,2
4,13645,3
4,20876,1
4,11446,2
4,16203,2
4,2830,2
4,2004,3
4,20624,1
4,21280,3
4,1182,1
4,21538,4
4,1443,2
4,11423,2
4,187,3
4,5730,3
4,2983,3
4,6823,4
4,11102,2
4,6390,1
4,17242,4
4,10018,2
4,5147,4
4,6427,1
4,14628,2
4,1882,1
4,22401,4
4,16128,4
4,12872,2
4,9263,2
4,14155,1
4,21631,2
4,6329,3
4,17507,2
4,2282,2
4,9706,3
4,4738,2
4,3676,2
4,16972,1
4,5356,3
4,8514,2
4,14332,2
4,7212,3
4,8843,1
4,1377,1
4,1997,4
4,7813,2
4,3891,2
4,4109,3
5,8288,6
5,9206,2
5,1840,3
5,17845,4
5,17411,3
5,21768,3
5,15735,4
5,18468,3
5,21755,3
5,14111,4
5,20510,3
5,945,4
5,14862,1
5,6946,4
5,12902,5
5,4808,4
5,14241,5
5,7106,4
5,18497,3
6,18893,3
6,1193,6
6,4000,6
6,290,4
6,22261,10
6,13966,4
6,3300,6
6,22403,3
6,18782,6
6,5066,12
6,17038,8
6,12645,2
6,15644,6
7,3305,5
7,12361,5
7,18601,5
11,20092,8
11,8106,7
11,12130,4
11,19489,2
17,17433,6
17,2417,3
17,21059,1
20,364,4
27,21247,9
27,4857,1
33,15191,10
33,22181,5
34,14650,2
40,20152,1
40,12062,2
40,10581,1
40,10497,2
40,19197,2
44,3103,1
44,4751,2
44,4401,2
44,9813,3
44,2532,3
44,1126,3
44,21324,2
44,4031,4
44,21274,5
44,5589,4
44,568,1
44,21681,5
44,19964,3
44,18235,4
44,839,1
44,16105,4
44,7288,4
44,13140,3
44,19621,3
44,19127,2
44,4077,2
44,14703,3
44,1618,4
44,20168,3
44,13408,1
44,11248,1
44,12025,4
44,7919,2
44,12745,3
44,5525,2
44,6398,2
44,20516,3
44,9567,6
44,4527,2
44,2160,1
44,20037,3
44,18167,2
44,20889,2
44,9996,3
44,6706,3
44,4917,2
44,11850,2
44,11473,3
44,17591,3
44,5165,6
44,13074,6
44,8062,2
44,3074,4
44,18638,2
44,7978,5
44,3981,4
44,18539,3
44,18624,3
44,1517,2
44,21087,3
44,5010,4
44,5317,3
44,8795,3
44,7606,3
46,16127,2
46,3494,1
46,3963,2
46,2252,2
46,12130,4
46,16368,3
46,15553,3
46,365,2
51,138,1
51,4758,4
51,6109,2
51,7940,1
51,5158,4
51,11181,3
51,15467,6
51,20182,4
51,8347,5
51,21066,1
52,13463,3
52,12715,3
52,11878,2
52,6333,2
52,14080,3
52,12546,2
52,10857,3
52,17291,2
52,7206,2
55,12472,1
55,10980,3
55,9578,4
55,15384,2
55,15839,4
55,2316,5
55,2348,4
55,14350,3
55,22149,3
55,15121,1
55,10626,3
55,21937,6
59,5353,8
59,18152,9
60,18893,2
60,1193,9
60,11140,3
60,290,3
60,17860,7
60,3300,3
60,11611,6
60,4425,4
60,6886,5
60,22403,2
60,18782,4
60,5777,3
60,5066,7
60,15644,6
62,21172,3
62,3026,3
67,18992,3
67,16676,6
67,14628,3
67,791,1
67,18919,3
67,10932,4
68,366,3
68,20113,4
68,10922,3
68,16502,1
68,19635,4
69,526,3
69,20012,2
69,4186,3
69,12031,4
69,13610,4
69,19031,3
69,959,1
69,21687,2
70,14551,2
70,16034,3
70,20582,11
70,18911,7
70,21366,1
70,3663,6
70,19504,4
70,7029,1
70,4693,6
70,20076,3
70,12830,3
70,9282,3
70,9710,2
70,7595,3
70,20923,6
70,18475,3
70,10152,9
70,19854,2
70,924,7
71,4677,4
73,239,1
73,20617,2
73,1621,1
73,10904,3
73,19203,5
73,6050,3
77,9197,3
77,22229,4
77,20555,3
77,20888,3
77,1597,2
77,2270,3
77,15684,3
77,7768,4
78,16809,3
79,11173,6
79,12514,2
79,19026,4
79,410,5
79,13675,6
79,10974,3
79,7228,8
79,20335,2
82,7422,7
82,1142,6
82,3559,5
82,18002,2
82,17914,2
89,6455,3
89,11531,3
89,17441,1
89,543,1
93,6709,6
93,5227,3
95,1357,3
95,4232,2
95,4755,4
95,4188,2
95,13173,3
95,9330,2
95,6566,3
95,1181,4
95,13049,2
95,20706,4
95,9869,4
95,17804,2
95,16514,3
95,3290,2
95,10760,1
95,17620,1
95,22042,2
95,8169,4
95,18976,4
95,10953,5
95,19881,4
95,6781,2
95,20027,2
95,6556,2
95,12513,4
95,4084,4
95,1401,3
95,6395,2
95,9566,3
95,16322,2
95,4423,2
95,20636,2
95,20478,1
95,16835,4
95,20521,2
95,19602,2
95,3253,3
95,8239,3
95,11480,1
95,10579,3
95,22317,2
95,17635,1
95,11560,3
95,2922,2
95,8607,3
95,9045,3
95,1689,2
96,18418,3
96,14325,2
96,20388,2
96,13435,1
96,2539,3
97,7076,2
97,13261,2
97,18356,1
97,16975,3
99,12472,1
99,10980,2
99,17340,1
99,2466,1
99,3791,1
99,17056,1
99,13175,1
99,11469,2
99,4563,3
99,4653,3
99,7365,2
99,2051,1
99,3221,1
99,14308,2
99,1789,4
99,9164,1
99,9843,1
99,15384,1
99,15839,3
99,17169,2
99,20337,1
99,20778,4
99,8574,1
99,21307,1
99,8663,2
99,9777,2
99,5045,2
99,216,1
99,18819,1
99,18369,2
101,4751,6
101,20162,7
101,19525,9
101,3852,7
101,3241,3
101,21236,10
101,9034,10
101,11329,9
101,13922,6
101,5858,3
101,4118,6
101,12774,4
101,410,7
101,18869,9
101,11375,4
101,7919,9
101,1618,10
101,20516,5
101,18167,6
101,11850,3
101,9641,7
101,17591,6
101,12837,8
101,13140,11
101,19127,7
101,5082,10
101,1517,7
101,15416,9
101,7355,6
101,1558,5
101,11137,3
101,8795,10
101,2539,1
103,20990,7
103,1136,3
103,4076,4
103,3291,4
103,10497,6
103,4526,5
103,11310,4
103,20152,1
103,16191,5
103,10581,5
103,827,7
103,10174,4
103,8630,4
103,2869,5
103,20045,6
103,12589,3
103,20820,2
103,12062,4
103,17920,5
106,13551,3
106,6764,2
106,8985,1
106,13776,4
106,1602,3
106,13053,3
106,2882,2
106,16975,2
106,19702,2
106,22173,1
106,5785,3
106,12965,3
106,21280,2
106,7867,3
106,19050,3
106,21538,1
106,14822,2
106,15385,3
106,187,3
106,12038,3
106,16112,2
106,16779,3
106,3838,3
106,6823,1
106,8910,1
106,14340,2
106,4419,2
106,5147,1
106,11507,2
106,14628,2
106,4211,2
106,7602,2
106,6113,2
106,12512,1
106,7503,2
106,9263,2
106,16181,2
106,6914,2
106,8712,1
106,14591,3
106,2208,2
106,3138,2
106,17065,3
106,2282,4
106,3676,3
106,16972,2
106,17740,3
106,8514,3
106,18260,2
106,4967,4
106,10978,4
106,9144,2
106,1377,4
106,11102,2
106,8395,4
106,20049,1
106,8434,2
106,20488,1
108,469,5
108,20316,2
109,3238,3
109,20107,2
109,4830,4
109,14575,4
109,20380,5
109,14539,6
109,16749,6
109,9661,4
109,511,4
109,7618,5
109,6233,7
109,5735,4
109,5987,2
109,9987,1
109,3192,3
109,14170,4
109,21022,5
109,13073,3
109,3397,3
109,21102,5
109,3287,4
109,3863,4
109,15240,3
109,6193,2
109,21931,3
109,20594,5
111,1302,5
113,18006,2
113,15107,2
113,16072,3
113,14516,2
113,6603,3
113,19567,2
113,13134,4
113,18100,1
113,6244,1
113,13537,2
113,9531,3
113,4152,1
113,6940,3
113,21144,1
113,21272,1
113,10843,3
113,16337,3
113,20314,1
113,16992,2
113,2902,2
113,4907,2
113,17079,1
113,6427,2
113,6318,3
113,5844,3
113,12160,3
113,5799,3
113,10072,3
113,20862,1
113,11424,2
113,20826,4
113,7812,3
113,17065,1
113,6621,1
113,6491,1
113,19735,2
113,14862,1
113,21497,3
113,4099,1
113,2959,2
113,3932,2
113,18002,3
113,19133,3
113,3870,2
114,3563,3
114,10368,2
114,11228,2
114,18012,3
114,3622,3
114,364,2
114,8637,1
114,20525,1
116,3807,2
116,9600,4
116,3052,3
116,7179,4
116,18789,2
117,21767,2
118,15484,6
118,11898,6
119,14266,1
119,4212,5
119,11718,6
119,12794,5
129,22359,4
129,13515,9
129,1035,7
129,9174,5
129,10256,7
129,11916,6
129,10257,7
129,12321,2
129,8557,7
129,19640,7
129,10174,1
129,12853,3
129,5353,8
129,22283,10
129,1860,7
129,10224,9
129,4357,3
138,3990,4
138,4758,1
138,14017,5
138,6291,2
138,6542,6
138,1962,5
138,12064,5
138,6413,5
138,11003,3
138,5439,1
138,5158,2
138,20182,2
138,19732,4
138,11181,2
138,16362,2
138,554,2
138,7350,3
138,5448,3
138,18021,3
138,11712,2
138,12777,5
138,13639,2
138,10292,1
138,11611,3
138,968,2
138,15187,8
138,10387,3
138,21066,1
138,21586,3
138,8377,1
138,17837,2
140,5948,1
